sure_s,kazanan_drone_id,kazanan_teklif_puani,enlem_deg,boylam_deg,mutlak_irtifa_m,bagil_irtifa_m,home_mesafesi_m,hedef_mesafesi_m
6.201,3,102.292,47.3979662,8.5461681,1.515,1.3,0.023,2.221
6.221,3,102.292,47.3979662,8.5461681,1.529,1.313,0.023,2.221
6.241,3,102.292,47.3979663,8.5461681,1.548,1.333,0.034,2.216
6.261,3,102.292,47.3979663,8.5461681,1.562,1.346,0.034,2.216
6.281,3,102.292,47.3979663,8.5461681,1.581,1.366,0.034,2.216
6.301,3,102.292,47.3979663,8.5461681,1.595,1.379,0.034,2.216
6.321,3,102.292,47.3979663,8.5461681,1.614,1.398,0.034,2.216
6.341,3,102.292,47.3979663,8.5461681,1.627,1.411,0.034,2.216
6.361,3,102.292,47.3979663,8.5461681,1.647,1.431,0.034,2.216
6.381,3,102.292,47.3979663,8.546168,1.66,1.444,0.037,2.209
6.401,3,102.292,47.3979663,8.546168,1.679,1.463,0.037,2.209
6.421,3,102.292,47.3979663,8.546168,1.692,1.476,0.037,2.209
6.441,3,102.292,47.3979663,8.546168,1.711,1.495,0.037,2.209
6.463,3,102.292,47.3979663,8.546168,1.724,1.508,0.037,2.209
6.481,3,102.292,47.3979663,8.546168,1.743,1.527,0.037,2.209
6.501,3,102.292,47.3979663,8.546168,1.756,1.54,0.037,2.209
6.521,3,102.292,47.3979663,8.546168,1.775,1.559,0.037,2.209
6.541,3,102.292,47.3979663,8.546168,1.788,1.572,0.037,2.209
6.561,3,102.292,47.3979663,8.546168,1.807,1.591,0.037,2.209
6.581,3,102.292,47.3979663,8.546168,1.819,1.603,0.037,2.209
6.601,3,102.292,47.3979663,8.5461679,1.838,1.622,0.04,2.203
6.621,3,102.292,47.3979663,8.5461679,1.851,1.635,0.04,2.203
6.641,3,102.292,47.3979663,8.5461679,1.869,1.654,0.04,2.203
6.661,3,102.292,47.3979663,8.5461679,1.882,1.666,0.04,2.203
6.681,3,102.292,47.3979663,8.5461679,1.9,1.685,0.04,2.203
6.7,3,102.292,47.3979663,8.5461679,1.913,1.697,0.04,2.203
6.721,3,102.292,47.3979663,8.5461679,1.931,1.715,0.04,2.203
6.741,3,102.292,47.3979663,8.5461679,1.943,1.727,0.04,2.203
6.761,3,102.292,47.3979663,8.5461679,1.962,1.746,0.04,2.203
6.781,3,102.292,47.3979663,8.5461679,1.974,1.758,0.04,2.203
6.801,3,102.292,47.3979663,8.5461679,1.992,1.776,0.04,2.203
6.821,3,102.292,47.3979663,8.5461679,2.003,1.788,0.04,2.203
6.841,3,102.292,47.3979663,8.5461679,2.021,1.805,0.04,2.203
6.862,3,102.292,47.3979663,8.5461679,2.033,1.817,0.04,2.203
6.881,3,102.292,47.3979663,8.5461679,2.05,1.835,0.04,2.203
6.901,3,102.292,47.3979663,8.5461679,2.062,1.846,0.04,2.203
6.921,3,102.292,47.3979663,8.5461679,2.079,1.863,0.04,2.203
6.941,3,102.292,47.3979663,8.5461679,2.091,1.875,0.04,2.203
6.961,3,102.292,47.3979663,8.5461679,2.108,1.892,0.04,2.203
6.981,3,102.292,47.3979663,8.5461679,2.119,1.903,0.04,2.203
7.001,3,102.292,47.3979663,8.5461679,2.136,1.92,0.04,2.203
7.022,3,102.292,47.3979663,8.5461679,2.147,1.931,0.04,2.203
7.041,3,102.292,47.3979663,8.5461679,2.164,1.948,0.04,2.203
